Date,Open,High,Low,Close,Volume
2023-12-22,139.62,140.83,139.56,140.33,26532200
2023-12-26,140.43,141.51,140.03,140.36,16780300
2023-12-27,140.43,140.92,138.74,139.22,19628600
2023-12-28,139.63,139.98,138.6,139.08,16045700
2023-12-29,138.49,139.21,137.64,138.54,18733000
2024-01-02,137.41,138.31,135.36,137.04,23711200
2024-01-03,136.12,138.49,135.96,137.78,24212100
2024-01-04,137.29,138.02,135.23,135.27,27137700
2024-01-05,135.63,136.04,134.04,134.62,22513900
2024-01-08,135.17,137.87,135.14,137.7,21404000
2024-01-09,137.36,140.33,137.02,139.79,24759600
2024-01-10,139.84,141.83,139.75,141.11,21320200
2024-01-11,142.31,144.03,139.49,140.92,24008700
2024-01-12,141.5,142.03,140.66,141.48,18785500
2024-01-16,140.84,143.17,140.29,141.32,22670500
2024-01-17,140.19,140.68,137.76,140.31,20968600
2024-01-18,140.89,143.03,140.83,142.3,25746400
2024-01-19,143.55,145.25,143.2,145.18,34271900
2024-01-22,145.89,147.17,144.64,144.79,32200400
2024-01-23,144.69,145.97,144.31,145.83,21636100
2024-01-24,147.32,148.62,146.89,147.48,25233500
2024-01-25,148.84,151.8,148.31,150.63,29149100
2024-01-26,149.86,151.29,149.77,150.94,26115500
2024-01-29,150.81,152.52,150.19,152.25,27784300
2024-01-30,151.55,152.36,149.95,150.22,36331800
2024-01-31,142.44,142.82,138.72,138.95,71910000
2024-02-01,140.96,141.89,139.64,140.0,40466500
2024-02-02,138.12,141.45,135.38,141.21,62499600
2024-02-05,141.65,144.28,141.61,142.5,38505400
2024-02-06,143.46,144.17,142.02,142.92,29128200
2024-02-07,143.57,144.43,142.75,144.35,25208900
2024-02-08,144.63,145.13,143.91,144.71,22563800
2024-02-09,145.48,148.22,144.98,147.78,26829500
2024-02-12,147.2,148.12,146.16,146.32,21564100
2024-02-13,143.73,145.47,142.51,143.95,27837700
2024-02-14,144.88,145.32,142.91,144.74,22704200
2024-02-15,141.97,142.34,139.31,141.6,37590700
2024-02-16,141.82,142.02,138.99,139.37,31468900
2024-02-20,138.52,140.92,138.35,139.96,25144700
2024-02-21,140.29,141.52,139.53,141.38,23223300
2024-02-22,143.74,143.81,141.63,142.91,27191900
2024-02-23,142.49,143.49,142.25,142.78,19493800
2024-02-26,140.97,141.27,136.26,136.44,53641800
2024-02-27,136.89,138.11,135.97,137.74,33099200
2024-02-28,136.77,136.88,134.3,135.26,37328600
2024-02-29,136.15,137.72,135.28,137.32,42133000
2024-03-01,137.3,137.73,135.8,136.02,31151100
2024-03-04,134.55,134.55,130.83,132.26,55999400
2024-03-05,130.8,132.15,129.6,131.58,40194800
2024-03-06,132.03,132.49,129.78,130.32,35318600
2024-03-07,131.7,133.83,130.53,133.28,37738200
2024-03-08,133.11,136.96,132.9,134.3,39370400
2024-03-11,135.01,137.96,135.01,136.54,32437800
2024-03-12,135.91,138.24,135.91,137.36,27563400
2024-03-13,137.86,139.93,137.85,138.64,23347200
